year,ID
1995,12-193
1996,12-193
1997,12-193
1998,12-193
1999,12-193
2000,12-193
2002,12-193
2003,12-193
2004,12-193
2005,12-193
2006,12-193
2007,12-193
2008,12-193
2009,12-193
2010,12-193
2011,12-193
2012,12-193
2013,12-193
2014,12-193
2015,12-193
2016,12-193
2017,12-193
2018,12-193
2019,12-193
2020,12-193
2021,12-193
2022,12-193
2023,12-193
1978,12-197
1980,12-197
1981,12-197
1982,12-197
1983,12-197
1984,12-197
1985,12-197
1986,12-197
1987,12-197
1988,12-197
1989,12-197
1990,12-197
1991,12-197
1992,12-197
1993,12-197
1994,12-197
1995,12-197
1997,12-197
1998,12-197
2000,12-197
2004,12-197
2006,12-197
2007,12-197
2008,12-197
2009,12-197
2010,12-197
2011,12-197
2012,12-197
2013,12-197
2014,12-197
2015,12-197
2016,12-197
2017,12-197
2018,12-197
2019,12-197
2020,12-197
2021,12-197
2022,12-197
2023,12-197
1986,12-200
1987,12-200
1988,12-200
1989,12-200
1990,12-200
1991,12-200
1992,12-200
1993,12-200
1994,12-200
1995,12-200
1996,12-200
1997,12-200
1998,12-200
1999,12-200
2000,12-200
2001,12-200
2002,12-200
2003,12-200
2004,12-200
2005,12-200
2006,12-200
2007,12-200
2008,12-200
2009,12-200
2010,12-200
2011,12-200
2012,12-200
2013,12-200
2014,12-200
2015,12-200
2016,12-200
2017,12-200
2018,12-200
2019,12-200
2020,12-200
2021,12-200
2022,12-200
2023,12-200
1982,12-207
1983,12-207
1984,12-207
1985,12-207
1986,12-207
1987,12-207
1988,12-207
1989,12-207
1990,12-207
1992,12-207
1993,12-207
1994,12-207
1995,12-207
1997,12-207
1998,12-207
1999,12-207
2000,12-207
2001,12-207
2003,12-207
2004,12-207
2005,12-207
2006,12-207
2007,12-207
2008,12-207
2009,12-207
2010,12-207
2011,12-207
2012,12-207
2013,12-207
2014,12-207
2015,12-207
2016,12-207
2017,12-207
2018,12-207
2019,12-207
2020,12-207
2021,12-207
2022,12-207
2023,12-207
1986,12-209
1987,12-209
1988,12-209
1989,12-209
1991,12-209
1992,12-209
1993,12-209
1994,12-209
1995,12-209
1996,12-209
1997,12-209
1998,12-209
1999,12-209
2000,12-209
2002,12-209
2003,12-209
2004,12-209
2005,12-209
2007,12-209
2008,12-209
2009,12-209
2010,12-209
2011,12-209
2012,12-209
2013,12-209
2014,12-209
2015,12-209
2016,12-209
2017,12-209
2018,12-209
2019,12-209
2020,12-209
2021,12-209
2022,12-209
2023,12-209
1994,12-212
1995,12-212
1996,12-212
1997,12-212
1998,12-212
1999,12-212
2000,12-212
2001,12-212
2005,12-212
