year_key,decimaldate,Qm3_s,d,ID
1989,1989.58010159817,16.2642788035641,1,203-2
1990,1990.34173855277,23.661507072064,1,203-2
1991,1991.67629375951,18.5131875119075,1,203-2
1992,1992.41381109593,22.755476246875,1,203-2
1993,1993.38895167428,20.0121838668774,1,203-2
1994,1994.57355974125,14.7646598733338,1,203-2
1995,1995.64398401826,23.319793585,1,203-2
1996,1996.44034987857,21.2085634363636,1,203-2
1997,1997.4571651446,36.6334676249999,1,203-2
1998,1998.53798325723,14.0113141904762,1,203-2
1999,1999.39259893455,20.025685,1,203-2
2000,2000.40255009107,25.169708,1,203-2
2001,2001.58664383562,20.240446,1,203-2
2002,2002.32488584475,19.817411,1,203-2
2003,2003.56381278539,20.883368,1,203-2
2004,2004.69489981785,26.354671,1,203-2
2005,2005.79406392694,20.715887,1,203-2
2006,2006.34931506849,17.963617,1,203-2
2007,2007.96301369863,15.481197,1,203-2
2008,2008.56534608379,15.575128,1,203-2
2009,2009.36061643836,18.67082,1,203-2
2010,2010.37694063927,37.547375,1,203-2
2012,2012.40516848816,20.829144,1,203-2
2013,2013.39121004566,22.197239,1,203-2
2014,2014.43801369863,16.482944,1,203-2
2015,2015.79748858447,19.450777,1,203-2
2016,2016.5253870674,21.645998,1,203-2
2017,2017.44109589041,21.317987,1,203-2
2018,2018.35913242009,17.712824,1,203-2
2019,2019.31187214612,17.364342,1,203-2
2020,2020.42076502732,28.563131,1,203-2
2021,2021.44680365297,26.239216,1,203-2
2022,2022.57146118721,29.75913,1,203-2
2023,2023.38721461187,20.668905,1,203-2
1972,1972.43765498507,77.4943864146498,1,206-3
1973,1973.51790791476,61.5210533409547,1,206-3
1974,1974.45392116946,74.9702108308351,1,206-3
1975,1975.56405162354,115.918992722571,1,206-3
1976,1976.54677244611,48.8562915186707,1,206-3
1977,1977.55002004059,67.3420363409587,1,206-3
1979,1979.48178694191,60.1689398526383,1,206-3
1980,1980.42367369333,60.7682427338803,1,206-3
1982,1982.50866447869,96.122248122621,1,206-3
1983,1983.50349927067,59.9881917254379,1,206-3
1984,1984.40394514648,59.5401405369292,1,206-3
1985,1985.4517312278,52.7110698879219,1,206-3
1987,1987.47645430619,38.3261123896771,1,206-3
1988,1988.47574946873,92.2975859564022,1,206-3
1989,1989.4928348554,96.8952920055474,1,206-3
1990,1990.48478120244,81.367197625,1,206-3
1991,1991.49555936073,58.5108976666295,1,206-3
1992,1992.45359555252,101.037243555556,1,206-3
1997,1997.45433789954,61.64653,1,206-3
1998,1998.49257990868,45.616398,1,206-3
1999,1999.45182648402,58.18924,1,206-3
2000,2000.49168943534,80.635963,1,206-3
2001,2001.46849315068,51.677494,1,206-3
2002,2002.44383561644,43.590759,1,206-3
2003,2003.5200913242,35.993706,1,206-3
2005,2005.47420091324,68.614891,1,206-3
2006,2006.44885844749,63.060863,1,206-3
2007,2007.50353881279,43.125427,1,206-3
2008,2008.55703551913,64.4076,1,206-3
2009,2009.41358447489,53.961441,1,206-3
2010,2010.48470319635,50.966125,1,206-3
2011,2011.44075342466,89.374519,1,206-3
2012,2012.46413934426,66.057884,1,206-3
2013,2013.42168949772,71.063271,1,206-3
2014,2014.43675799087,71.1297,1,206-3
2015,2015.48184931507,41.865021,1,206-3
2016,2016.50432604736,54.565731,1,206-3
2017,2017.54394977169,58.791214,1,206-3
2018,2018.46803652968,59.215767,1,206-3
2019,2019.43276255708,66.754112,1,206-3
2020,2020.48440346084,88.59967,1,206-3
2021,2021.44554794521,89.4776,1,206-3
2022,2022.49006849315,84.107536,1,206-3
2023,2023.47374429224,76.946594,1,206-3
1985,1985.45173706241,69.8436030145554,1,208-2
1990,1990.4852739726,80.713928,1,208-2
1991,1991.4684912481,69.2440759463386,1,208-2
1992,1992.45400538859,75.9642553166509,1,208-2
1993,1993.52853881279,96.007782,1,208-2
1994,1994.49657534247,48.967461,1,208-2
1995,1995.43047945206,84.72052,1,208-2
1996,1996.43977686703,64.48362,1,208-2
1997,1997.44337899543,90.719978,1,208-2
1998,1998.47705479452,49.487743,1,208-2
1999,1999.39429223744,63.390045,1,208-2
2000,2000.49282786885,71.348351,1,208-2
2002,2002.41415525114,52.630039,1,208-2
2003,2003.38378995434,54.423637,1,208-2
2004,2004.50261839709,54.250854,1,208-2
2005,2005.449543379,68.704712,1,208-2
2006,2006.39417808219,65.642464,1,208-2
2007,2007.43025114155,62.696701,1,208-2
2008,2008.48770491803,53.609356,1,208-2
2009,2009.41392694064,70.177361,1,208-2
2010,2010.37579908676,142.850891,1,208-2
2012,2012.40482695811,74.712402,1,208-2
2013,2013.41917808219,79.662582,1,208-2
2014,2014.4299086758,85.386208,1,208-2
2015,2015.41917808219,53.87619,1,208-2
2016,2016.46379781421,53.423367,1,208-2
2017,2017.43858447489,78.579697,1,208-2
2018,2018.37397260274,54.408016,1,208-2
2019,2019.43447488584,56.861698,1,208-2
2020,2020.43442622951,98.093391,1,208-2
2021,2021.44691780822,114.352066,1,208-2
2022,2022.42408675799,94.657104,1,208-2
2023,2023.39178082192,64.633499,1,208-2
1986,1986.39008561644,463.660791304102,1,208-3
1987,1987.43092656012,411.685465045009,1,208-3
1988,1988.43769163631,391.957365005474,1,208-3
1989,1989.43892503805,502.354859486429,1,208-3
1990,1990.47953386606,343.680183208216,1,208-3
1991,1991.45787671233,336.592499309802,1,208-3
1992,1992.45381754706,424.857607468729,1,208-3
1993,1993.46619672755,363.535983924987,1,208-3
1994,1994.45235159817,286.60972265009,1,208-3
1995,1995.43064878234,493.060627799999,1,208-3
1998,1998.47440639269,267.658775801509,1,208-3
1999,1999.44714611872,471.352997,1,208-3
2000,2000.48884335155,507.276978,1,208-3
2001,2001.43835616438,423.836151,1,208-3
2002,2002.41404109589,289.28717,1,208-3
2003,2003.38367579909,298.056519,1,208-3
2004,2004.35302823315,339.404205,1,208-3
2005,2005.44406392694,539.658386,1,208-3
2006,2006.39429223744,410.55545,1,208-3
2007,2007.42831050228,467.057648,1,208-3
2008,2008.42099271403,378.671906,1,208-3
2009,2009.41369863014,389.714325,1,208-3
2010,2010.37888127854,635.267761,1,208-3
2011,2011.39691780822,398.265625,1,208-3
2012,2012.40482695811,519.022278,1,208-3
2013,2013.3899543379,577.828125,1,208-3
2014,2014.43025114155,627.716187,1,208-3
2015,2015.41883561644,461.218628,1,208-3
2016,2016.51548269581,444.770905,1,208-3
2017,2017.44109589041,477.203522,1,208-3
2018,2018.37385844749,354.018311,1,208-3
2019,2019.41015981735,438.620361,1,208-3
2020,2020.43454007286,613.08551,1,208-3
2021,2021.44680365297,706.031921,1,208-3
2022,2022.42431506849,624.484314,1,208-3
2023,2023.38698630137,489.310455,1,208-3
1974,1974.70886415525,9.42047761472599,1,21-47
1975,1975.74946347032,9.93465253964577,1,21-47
1977,1977.74632800609,6.38306139927955,1,21-47
1984,1984.3785822708,12.3300903051138,1,21-47
1989,1989.48885464231,26.7204528673964,1,21-47
1990,1990.50907914764,13.8326183846592,1,21-47
1991,1991.41070966514,7.46634182921624,1,21-47
1992,1992.42290148755,15.0967750291135,1,21-47
1993,1993.38684550989,10.7921571641021,1,21-47
1994,1994.68976978691,10.023741811314,1,21-47
1995,1995.40859398782,9.60217122589689,1,21-47
1996,1996.31121167274,6.40199510193384,1,21-47
1997,1997.43486872146,12.8776714920232,1,21-47
1998,1998.48912100457,10.7678717951051,1,21-47
1999,1999.48984589041,16.2414294136222,1,21-47
2000,2000.37640786278,13.1166668001265,1,21-47
2002,2002.52469368341,51.3706070877316,1,21-47
2003,2003.69145928463,10.7204627807222,1,21-47
2004,2004.34596994536,16.706669,1,21-47
2005,2005.39908675799,7.444417,1,21-47
2007,2007.4100456621,13.695803,1,21-47
2008,2008.4224726776,10.426675,1,21-47
2014,2014.38915525114,16.683544,1,21-47
2015,2015.67043378995,16.133991,1,21-47
2016,2016.69467213115,11.990255,1,21-47
2017,2017.43184931507,19.151867,1,21-47
2018,2018.68584474886,22.408489,1,21-47
2019,2019.32260273973,16.070927,1,21-47
2020,2020.75899362477,20.899086,1,21-47
2021,2021.75456621005,11.621214,1,21-47
2022,2022.39383561644,11.884275,1,21-47
2023,2023.62123287671,14.740541,1,21-47
1985,1985.4465848554,706.882102141843,1,212-10
1986,1986.37785197869,745.699434312312,1,212-10
1987,1987.43024923897,757.297283542692,1,212-10
1988,1988.40789883121,299.244772196067,1,212-10
1989,1989.37801560122,743.823905000005,1,212-10
1990,1990.34737252664,208.672769723361,1,212-10
1991,1991.41215182648,285.385937854051,1,212-10
1992,1992.41614108986,850.364691820333,1,212-10
1993,1993.39988394216,456.957390140644,1,212-10
1995,1995.43276255708,703.541382,1,212-10
1997,1997.44794520548,789.208008,1,212-10
1999,1999.41586757991,616.28595,1,212-10
2000,2000.41780510018,902.805298,1,212-10
2004,2004.35484972678,530.519714,1,212-10
2005,2005.43424657534,928.901428,1,212-10
2006,2006.35251141553,439.638855,1,212-10
2007,2007.3946347032,673.197815,1,212-10
2008,2008.42827868852,541.365784,1,212-10
2009,2009.37283105023,380.480103,1,212-10
2011,2011.39942922374,462.649139,1,212-10
2012,2012.40733151184,719.322205,1,212-10
2013,2013.39452054795,976.767761,1,212-10
2014,2014.43173515982,672.022339,1,212-10
2015,2015.41552511416,403.039307,1,212-10
2016,2016.3710154827,362.374359,1,212-10
2017,2017.44680365297,497.660004,1,212-10
2018,2018.38538812785,520.271667,1,212-10
2019,2019.42077625571,331.184357,1,212-10
2020,2020.43966302368,998.637085,1,212-10
2021,2021.43139269406,401.278015,1,212-10
2022,2022.41735159817,656.849121,1,212-10
2023,2023.39315068493,658.590271,1,212-10
1986,1986.37902968037,813.493769741393,1,212-11
1987,1987.4287652207,894.070974200115,1,212-11
1988,1988.41451312993,428.854687685999,1,212-11
1989,1989.37769977169,834.63462075259,1,212-11
1990,1990.43810502283,280.400829331226,1,212-11
1991,1991.41622907154,289.754903570949,1,212-11
1992,1992.41583750759,1000.59096269956,1,212-11
1993,1993.3991152968,583.803021780488,1,212-11
1994,1994.42844748858,459.881070469214,1,212-11
1995,1995.43257039574,908.662643595775,1,212-11
1996,1996.43160860656,722.569261336974,1,212-11
1997,1997.44603500761,1013.32911845939,1,212-11
1998,1998.38514079148,633.817100621433,1,212-11
1999,1999.41700152207,608.726785009322,1,212-11
2000,2000.42119573467,901.646399383236,1,212-11
2001,2001.35880136986,379.615098537264,1,212-11
2002,2002.34286339422,459.239341597139,1,212-11
2006,2006.39771689498,442.295135,1,212-11
2007,2007.39817351598,748.168823,1,212-11
2008,2008.42543260474,698.157715,1,212-11
2009,2009.37237442922,443.468506,1,212-11
2010,2010.38710045662,821.001221,1,212-11
2011,2011.39726027397,511.619934,1,212-11
2012,2012.40778688525,786.331848,1,212-11
2013,2013.39360730594,1092.957764,1,212-11
2014,2014.42922374429,812.881958,1,212-11
2015,2015.41369863014,614.690918,1,212-11
2016,2016.37306466302,405.931549,1,212-11
2017,2017.44771689498,592.066528,1,212-11
2018,2018.37488584475,901.067505,1,212-11
2019,2019.4196347032,395.93692,1,212-11
2020,2020.43602003643,1052.710815,1,212-11
2021,2021.42397260274,628.135132,1,212-11
2022,2022.40502283105,980.260254,1,212-11
2023,2023.38390410959,925.143372,1,212-11
1991,1991.43869101979,58.1883610192345,1,212-48
1994,1994.45239726027,37.778267,1,212-48
1995,1995.40308219178,49.812084,1,212-48
1996,1996.43977686703,87.718956,1,212-48
1997,1997.44121004566,91.735962,1,212-48
1998,1998.43698630137,37.865627,1,212-48
1999,1999.43892694064,40.761703,1,212-48
2000,2000.41290983607,71.300316,1,212-48
2001,2001.43287671233,46.373032,1,212-48
2002,2002.33721461187,37.784439,1,212-48
2003,2003.38926940639,59.858822,1,212-48
2004,2004.35040983607,78.259781,1,212-48
2005,2005.44452054795,59.9645,1,212-48
2006,2006.39200913242,65.712784,1,212-48
2007,2007.42808219178,53.523193,1,212-48
2008,2008.42361111111,53.201675,1,212-48
2009,2009.40479452055,40.841412,1,212-48
2010,2010.37785388128,105.561287,1,212-48
2011,2011.3950913242,66.866882,1,212-48
2012,2012.40528233151,56.198563,1,212-48
2013,2013.38892694064,85.04985,1,212-48
2014,2014.42785388128,81.388756,1,212-48
2016,2016.35257285975,30.099665,1,212-48
2017,2017.44109589041,72.949097,1,212-48
2018,2018.37340182648,69.207092,1,212-48
2019,2019.38367579909,45.910229,1,212-48
2020,2020.4372723133,107.136208,1,212-48
2021,2021.44760273973,109.757133,1,212-48
2022,2022.41940639269,82.924156,1,212-48
2023,2023.38652968037,94.533211,1,212-48
1993,1993.52808409437,55.533570089169,1,212-49
