Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
31.2	1	1	1	FALSE	FALSE	Lysedalen	47.2	1954	1984		31				
32.6	1	1	1	FALSE	FALSE	Liarvatn	55.85	1915	1943	1927:1935	20				
33.2	1	1	1	FALSE	FALSE	Tveid 1896-1928	513	1897	1956		60				
33.10	1	1	2	TRUE	FALSE	Sandvatn	70.4	1991	2015	2001:2005, 2009	19	1991	2015	2001:2005, 2009	19
33.11	1	1	2	FALSE	FALSE	Bergland bru	155	1966	1979		14				
35.2	0	0	1	FALSE	FALSE	Hauge Bru	393.88	1906	1980		75				
35.9	1	1	1	FALSE	FALSE	Osali	22.46	1983	2015	2010	32	1983	2015	1985:1989, 2010	27
35.16	1	0	2	FALSE	FALSE	Djupadalsvatn	45.34	1991	2015		25	1991	2015		25
36.2	1	1	1	FALSE	FALSE	Røldalsvatn	497.08	1914	1964		51				
36.11	1	1	2	FALSE	FALSE	Stråpa	1304	1905	1963		59				
36.12	1	1	2	FALSE	FALSE	Fossåna	10.7	1993	2003	2001:2002	9	1994	2003	1995, 1997, 1998, 2001, 2002	5
36.13	1	1	2	FALSE	FALSE	Grimsvatn	34.54	1974	2014		41	1974	2014	1986	40
36.32	1	1	2	FALSE	FALSE	Lauvastøl	20.72	1986	2015	1990, 1992, 1994	27	1993	2015	1994	22
37.27	1	1	2	FALSE	FALSE	Breiborgvatn	12.43	1996	2015	2005, 2007, 2011	17	1996	2015	2005:2007, 2011	16
38.1	1	1	1	FALSE	FALSE	Holmen	116.88	1983	2015	2002	32	1985	2015	2002	30
39.1	1	1	1	FALSE	FALSE	Tysvær	3.34	1975	2015	2002, 2003, 2010	38	1975	2015	2002, 2003, 2010	38
39.2	1	1	1	FALSE	FALSE	Kallandsvatnet	7.68	2006	2015		10	2006	2015	2011	9
41.1	1	1	1	FALSE	FALSE	Stordalsvatn	130.61	1913	2015		103	1985	2015		31
41.5	1	1	1	FALSE	FALSE	Stakkastadsvatn	33	1936	1973		38				
42.1	1	1	1	FALSE	FALSE	Fjellhaugvatn 1908-1921	150	1909	1920		12				
42.2	1	1	1	FALSE	FALSE	Djupevad	31.9	1972	2015		44	1972	2015	2005	43
42.16	1	1	2	FALSE	FALSE	Fjellhaugen	7.22	1998	2015		18	2000	2015	2001, 2007	14
45.4	1	1	1	FALSE	FALSE	Seimsfoss i Guddalselv	36.38	2007	2015		9	2007	2015		9
46.1	1	1	1	FALSE	FALSE	Øvrehuselv	37	1919	1939		21				
46.3	1	1	1	FALSE	FALSE	Øyreselv 1921-1968	83.4	1922	1973		52				
46.4	1	1	1	FALSE	FALSE	Bondhus	60.5	1964	1973	1970:1971	8				
46.9	1	1	1	FALSE	FALSE	Fønnerdalsvatn	7.01	1981	2014	1997, 2003:2005	30	1981	2014	1992, 1995, 1997, 2003:2005, 2007, 2011	26
47.1	1	1	1	FALSE	FALSE	Eidevatn (Byrkjedalsvatnet) 1908-1989	79.2	1909	1934		26				
48.1	1	1	1	FALSE	FALSE	Sandvenvatn	470.22	1909	2015		107	1997	2015	2007	18
48.2	1	1	1	FALSE	FALSE	Raundalsvatn	10.7	1964	1977		14	1964	1977		14
48.4	1	1	1	FALSE	FALSE	Jordal	51.5	1964	1982		19	1964	1982	1976	18
48.5	1	1	1	FALSE	FALSE	Reinsnosvatn	120.5	1918	2015	1923, 1924, 1926:1929	92	1977	2015	1978, 1984, 1988, 1996, 1997	34
50.1	1	1	1	FALSE	FALSE	Hølen	232.73	1923	2015		93	1962	2015	1978, 1984	52
50.2	1	1	1	FALSE	FALSE	Garen 1908-1948	502	1909	1973	1916:1918, 1938:1964	35				
50.3	1	1	1	FALSE	FALSE	Eidfjordvatn	1166.92	1929	1945		17				
50.5	1	1	1	FALSE	FALSE	Sima	125	1962	1980		19				
50.10	1	1	2	TRUE	FALSE	Isdøla	58.3	1966	1980		15	1966	1980		15
51.2	1	1	1	FALSE	FALSE	Austdalsvatn øvre	81.7	1943	1979	1976	36				
51.3	1	1	1	FALSE	FALSE	Osseter	26.7	1962	1979		18	1963	1979	1974:1975	15
55.4	1	1	1	FALSE	FALSE	Røykenes	50.09	1934	2015		82	1977	2015	1992	38
55.5	1	1	1	FALSE	FALSE	Dyrdalsvatn	3.31	1978	2015	1997:2001	33	1978	2015	1997:2001	33
55.7	1	1	1	FALSE	FALSE	Eikelandsosen	42.72	1981	1984		4				
61.8	1	1	1	FALSE	FALSE	Kaldåen	15.28	1988	2015		28	1988	2015	1997, 1999, 2010, 2012	24
61.13	1	1	2	FALSE	FALSE	Haukåselva	7.39	2008	2015		8	2008	2015		8
62.5	1	1	1	FALSE	FALSE	Bulken	1092.04	1892	2015		124	1995	2015		21
62.6	1	1	1	FALSE	FALSE	Austmannhølen	295	1909	1975	1946:1962, 1974	49				
62.10	1	1	2	TRUE	FALSE	Myrkdalsvatn	158.28	1964	2015		52	1971	2015	1986, 1987, 2011	42
