"ID","yk"
"21200010",1984
"21200010",1985
"21200010",1986
"21200010",1987
"21200010",1988
"21200010",1989
"21200010",1990
"21200010",1991
"21200010",1992
"21200010",1993
"21200010",1995
"21200010",1997
"21200010",1999
"21200010",2000
"21200010",2001
"21200010",2004
"21200010",2005
"21200010",2006
"21200010",2007
"21200010",2008
"21200010",2009
"21200010",2011
"21200010",2012
"21200010",2013
"21200010",2014
"21200010",2015
"21200010",2016
"21200010",2017
"21200010",2018
"21200010",2019
"21200010",2020
"21200010",2021
"21200010",2022
"21200010",2023
"21200010",2024
"6400006",1988
"6400006",1989
"6400006",1990
"6400006",1991
"6400006",1992
"6400006",1993
"6400006",1994
"6400006",1995
"6400006",1996
"6400006",1997
"6400006",1998
"6400006",1999
"6400006",2000
"6400006",2001
"6400006",2002
"6400006",2003
"6400006",2004
"6400006",2005
"6400006",2006
"6400006",2008
"6400006",2009
"6400006",2010
"6400006",2011
"6400006",2012
"6400006",2013
"6400006",2014
"6400006",2015
"6400006",2016
"6400006",2017
"6400006",2018
"6400006",2019
"6400006",2020
"6400006",2021
"6400006",2022
"6400006",2023
"6400006",2024
"7000008",1968
"7000008",1969
"7000008",1970
"7000008",1971
"7000008",1972
"7000008",1973
"7000008",1974
"7000008",1975
"7000008",1976
"7000008",1977
"7000008",1978
"7000008",1979
"7000008",1980
"7000008",1981
"7000008",1982
"7000008",1983
"7000008",1984
"7000008",1985
"7000008",1986
"7000008",1987
"7000008",1988
"7000008",1990
"7000008",1991
"7000008",1992
"7000008",1993
"7000008",1994
"7000008",1995
"7000008",1996
"7000008",1997
"7000008",1998
"7000008",1999
"7000008",2000
"7000008",2001
"7000008",2002
"7000008",2003
"7000008",2004
"7000008",2005
"7000008",2006
"7000008",2007
"7000008",2008
"7000008",2009
"7000008",2010
"7000008",2011
"7000008",2012
"7000008",2013
"7000008",2014
"7000008",2015
"7000008",2016
"7000008",2017
"7000008",2018
"7000008",2019
"7000008",2020
"7000008",2021
"7000008",2022
"7000008",2023
"7000008",2024
"7600011",1979
"7600011",1980
"7600011",1981
"7600011",1982
"7600011",1983
"7600011",1984
"7600011",1985
"7600011",1986
"7600011",1987
"7600011",1988
"7600011",1989
"7600011",1990
"7600011",1992
"7600011",1993
"7600011",1994
"7600011",1995
"7600011",1996
"7600011",1997
"7600011",1998
"7600011",1999
"7600011",2000
"7600011",2002
"7600011",2003
"7600011",2004
"7600011",2005
"7600011",2007
"7600011",2008
"7600011",2009
"7600011",2010
"7600011",2011
"7600011",2012
"7600011",2013
"7600011",2014
"7600011",2015
"7600011",2016
"7600011",2017
"7600011",2018
"7600011",2019
"7600011",2020
"7600011",2021
"7600011",2022
"7600011",2023
"7600011",2024
"1600140",1988
"1600140",1989
"1600140",1990
"1600140",1991
"1600140",1992
"1600140",1993
"1600140",1994
"1600140",1995
"11400001",1989
"11400001",2004
"15600008",1929
"15600008",1959
"1200286",1925
"1200286",1926
"1200286",1927
"1200286",1928
"1200286",1929
"1200286",1930
"1200286",1931
"1200286",1932
"1200286",1933
"1200286",1934
"1200286",1935
"1200286",1936
"1200286",1937
"1200286",1938
"1200286",1939
"1200286",1940
"1200286",1941
"1200286",1942
"1200286",1943
"1200286",1944
"1200286",1945
"1200286",1946
"1200286",1947
"1200286",1948
"1200286",1949
"1200286",1950
"1200286",1951
"1200286",1952
"1200286",1953
"1200286",1954
"1200286",1955
"1200286",1956
"1200286",1957
"1200286",1958
"1200286",1959
"1200286",1960
"1200286",1961
"1200286",1962
"1200286",1963
"1200286",1964
"1200286",1965
"1200286",1966
"1200286",1967
"1200286",1968
"1200286",1969
"1200286",1970
"1200286",1971
"1200286",1972
"1200286",1973
"1200286",1974
"1200286",1975
"1200286",1976
"1200286",1977
"1200286",1978
"1200286",1979
"1200286",1980
"1200286",1981
"1200286",1982
"1200286",1983
"1200286",1984
"1200286",1985
