Nr,version,Navn,Areal (km2),Dailydata_Start,Dailydata_Slutt,Dailydata_Utlatt,Dailydata_N,Findata_Start,Findata_Slutt,Findata_Utelatt,Findata_N,RN,HN,Nedlagt.regulert
15.79,0,Orsjoren,1177.29,1956,2015,"",60,2000,2015,2004,15,15,79,
150.1,1,Sørra,6.58,1953,2015,"1973:1976, 1982, 1985:1988, 2003, 2013",52,1953,2015,"1973:1976, 1982, 1985:1988, 2003, 2013",52,150,1,
150.3,1,Tormodsvoll,6.47,1954,1972,"",19,,,"",,150,3,
151.12,1,Østre Fiskelausvatn,15.41,1968,1989,"",22,1968,1981,1976,13,151,12,
151.15,1,Nervoll,653.36,1969,2015,"",47,1969,2015,1971,46,151,15,
151.16,1,Eiteråfoss,139.83,1969,1987,"",19,,,"",,151,16,
151.17,1,Fiplingvatn,264.68,1969,1985,"",17,,,"",,151,17,
151.20,1,Fosstun,588.83,1973,1995,1992:1993,21,1988,1995,"1990, 1992, 1993",5,151,20,
151.21,1,Joibakken,2623.11,1973,2015,"",43,1989,2015,"1992, 2001",25,151,21,
151.28,1,Laksfors,3653.4,1909,2015,1930:1952,84,1989,2015,"2010, 2013",25,151,28,
151.4,1,Hatfjelldal,1828.62,1909,1924,"",16,,,"",,151,4,
151.6,1,Fiplingkroken,309.03,1920,1930,"",11,,,"",,151,6,
151.65,1,Stor-Svenningvatnet,189.59,2012,2015,"",4,2012,2015,"",4,151,65,
151.9,1,Unkervatn,765,1930,1990,"",61,1989,1990,"",2,151,9,
152.4,0,Fustvatn,525.69,1909,2015,"",107,1975,2015,"1981:1988, 1991",32,152,4,
153.1,1,Storvatn,48,1917,2015,"",99,1972,2015,"",44,153,1,
155.11,1,Stemtjern,11.34,1969,1990,"",22,1989,1990,"",2,155,11,
155.13,1,Elvestad,193.72,1974,1989,"",16,1989,1989,"",1,155,13,
155.2,0,Tustervatn,1504.35,1905,1951,1950,46,,,"",,155,2,
155.27,1,Lendingosen,159.03,1994,2012,"",19,1994,2012,2000,18,155,27,
155.5,1,Lille Målvatn,274.38,1909,1966,"",58,,,"",,155,5,
155.6,1,Sjøfoss,1880.85,1928,1958,"",31,,,"",,155,6,
155.7,1,Bleikingen,191.9,1957,1966,"",10,,,"",,155,7,
156.10,1,Berget,210.63,1951,2015,"",65,1998,2015,2009,17,156,10,
156.13,1,Bjørnfoss,306.1,1955,1992,"",38,1987,1992,"",6,156,13,
156.15,1,Forsbakk,56.04,1974,2015,2006:2007,40,1974,2015,"1979:1988, 2006, 2007",30,156,15,
156.17,1,Virvatn,79.06,1967,2013,"1970, 2012",45,1989,2013,"1990, 2001, 2005, 2012",21,156,17,
156.18,1,Blerek,78.41,1967,1987,"",21,,,"",,156,18,
156.20,1,Nylaenget,374.55,1968,1983,"",16,,,"",,156,20,
156.22,1,Ramnåga,68.32,1971,1987,"",17,1985,1987,"",3,156,22,
156.24,1,Bogvatn,36.21,1971,2015,"",45,1971,2015,"1977:1979, 1983, 1985, 2010",39,156,24,
156.27,1,Leiråga,44.09,1975,2015,"1976, 1998:2000",37,1975,2015,"1976, 1989, 1998:2000",36,156,27,
156.34,0,Søndre Bjøllåvatn,157.26,1971,1993,1992,22,,,"",,156,34,
156.4,1,Nevernes,1904.14,1909,1980,"",72,,,"",,156,4,
156.5,0,Reinfosshei,3160.32,1909,1925,"",17,,,"",,156,5,
156.8,1,Svartisdal,121.98,1961,2015,"",55,1968,2015,"1971:1983, 1985:1988, 1990, 1996, 1998, 2009",27,156,8,
156.9,0,Krokstrand,792.69,1938,1970,"",33,,,"",,156,9,
157.3,1,Vassvatn,16.33,1917,2015,"",99,1989,2015,"",27,157,3,
159.3,1,Engabrevatn,53.33,1974,1992,"",19,1974,1992,"",19,159,3,
159.4,1,Koppskjærelv,2.29,1971,1979,"",9,1971,1979,"",9,159,4,
16.10,1,Omnefoss,807.71,1922,1955,1927:1928,32,,,"",,16,10,R
16.108,1,Gjevarvatn,33.3,1966,1983,"",18,1967,1983,"1976, 1982",15,16,108,
16.109,1,Veisvikvatn,15.1,1966,1983,"1977, 1979:1981",14,1966,1983,"1970, 1976, 1977, 1979:1981",12,16,109,
16.122,1,Grovåi,42.69,1973,2015,"2001, 2005",41,1973,2015,"1976, 2001, 2005",40,16,122,
16.127,1,Viertjern,46.8,1980,2014,"1993, 1996:1999, 2011",29,1980,2014,"1986, 1993, 1996:1999, 2011",28,16,127,
16.132,1,Gjuvå,33.1,1982,2015,2003:2005,31,1982,2015,"2001, 2003:2005",30,16,132,
16.140,1,Kvenna,822.26,1987,2015,"1988:1995, 1998:2000, 2003, 2008, 2009",15,1996,2015,"1998:2000, 2003, 2008, 2009",14,16,140,
16.189,1,Bjørntjønn,34.62,1992,2015,"2000, 2006",22,1992,2015,"2000, 2006",22,16,189,
16.193,1,Hørte,156.65,1962,2015,"1976, 1991:1994, 1996:1999, 2002",44,2000,2015,2002,15,16,193,
16.194,1,Kilen,118.47,1972,2015,1999:2001,41,1991,2015,1999:2001,22,16,194,
16.32,1,Hjartsjø,215,1920,1957,"",38,,,"",,16,32,
16.37,1,Vinjevatn,907,1919,1955,"",37,,,"",,16,37,
16.51,1,Hagadrag,726.98,1912,1943,"",32,,,"",,16,51,R
16.66,1,Grosettjern,6.6,1950,2015,"",66,1953,2015,"1957, 1964:1974, 1981:1984",47,16,66,
16.75,1,Tannsvatn,118.28,1956,2015,"",60,1985,2015,"1986, 2011",29,16,75,
16.81,1,Bitdalsvatn,80.1,1956,1969,"",14,,,"",,16,81,
161.1,1,Ågnes,195.86,1913,1947,"",35,,,"",,161,1,
161.18,0,Vm Selfoss Bru,788.34,1917,1992,"",76,,,"",,161,18,R
161.3,0,Arstadfossen,198.8,1917,1962,"",46,,,"",,161,3,
161.6,1,Staupåga,18.47,1970,1988,"",19,1970,1988,"1972, 1973, 1983",16,161,6,
161.7,1,Tollåga,225.05,1973,2015,2010,42,1973,2015,"2001, 2006, 2009, 2010",39,161,7,
162.1,1,Oldereidvatn,49.93,1920,1952,"",33,,,"",,162,1,
162.3,0,Skarsvatn,145.39,1917,2015,"",99,1989,2015,1999,26,162,3,
163.10,0,Sauelv,127.06,1977,1988,"",12,,,"",,163,10,
163.5,1,Junkerdalselv,421.98,1938,2015,"",78,1978,2015,"1979, 1980, 1986, 1996, 2002",33,163,5,
163.6,1,Jordbrufjell,69.91,1946,2014,"2007, 2013",67,1964,2014,"2007, 2013",49,163,6,
163.7,1,Kjemåvatn,36.48,1970,2015,"",46,1970,2015,"1977, 1981, 2005",43,163,7,
163.8,1,Lønselv,344.7,1973,1988,1974:1976,13,1985,1988,"",4,163,8,
163.9,1,Russånes,1040.23,1975,1988,"",14,1975,1988,"",14,163,9,
165.13,1,Nye Strandå,24.06,2014,2015,"",2,2015,2015,"",1,165,13,
166.1,1,Lakshola,230.79,1917,1998,"",82,1988,1998,"",11,166,1,
166.13,1,Vallvatn,53.04,1962,2014,"",53,1988,2014,"",27,166,13,
166.3,1,Andkilvatn,249.24,1961,1971,"",11,,,"",,166,3,
167.2,1,Sørfjordvatn,109.31,1917,1986,"",70,1965,1984,"1968, 1973, 1975",17,167,2,
167.3,1,Kobbvatn,387.14,1917,1985,"",69,,,"",,167,3,R
167.4,1,Sjøfossen,73.82,1964,1983,"",20,,,"",,167,4,
168.1,1,Storvatn,71.3,1917,2014,"1991:2007, 2011",80,1959,2014,"1980, 1985:1988, 1991:2007, 2011",33,168,1,
168.2,1,Mørsvik Bru,31.23,1986,2015,"",30,1986,2015,"",30,168,2,
170.1,1,Rotvatn,242.08,1917,1943,"",27,,,"",,170,1,
171.3,1,Vasja,39.44,1972,1986,"",15,1972,1978,"",7,171,3,
171.4,1,Stabburselv,67.34,1972,1986,"",15,,,"",,171,4,
171.5,1,Draugselv,105.58,1972,1986,"",15,,,"",,171,5,
171.7,1,Ravggajokka,74.96,1977,2015,"1987:2010, 2012",14,,,"",,171,7,
172.5,1,Melkedal,92.15,1939,1956,"",18,,,"",,172,5,R
173.1,1,Kjårdaelv,71.03,1919,1938,"",20,,,"",,173,1,
173.22,1,Gamnes,797.59,1913,1972,1959:1961,57,,,"",,173,22,R
173.3,1,Sørelv Bru,371.68,1919,1972,"",54,,,"",,173,3,
173.8,1,Coarveij,62.83,1973,2013,"1994, 2000, 2006:2010",34,1989,2013,"1992, 1994, 2000, 2001, 2006:2010",16,173,8,
174.11,1,Taraldsvikelv,2.84,1994,2014,"1998, 1999, 2010",18,1994,2014,"1998, 1999, 2010",18,174,11,
174.3,1,Øvstevatn,28.44,1982,2015,"",34,1982,2015,2003,33,174,3,
174.9,1,Nygård,150.18,1922,1931,"",10,,,"",,174,9,
176.1,1,Myklebostad,17.79,1985,1998,1997,13,1985,1996,"1992, 1995",10,176,1,
177.4,1,Sneisvatn,29.25,1917,2015,"",99,1978,2015,"1985, 1987",36,177,4,
178.1,1,Langvatn,18.41,1954,2014,"",61,1978,2014,1980,36,178,1,
18.10,1,Gjerstad,236.23,1981,2015,"",35,1985,2015,1993:1994,29,18,10,
18.11,1,Tjellingtjernbekk,1.95,1982,2015,1988,33,1982,2015,1988,33,18,11,
18.4,1,Lundevatn,407.75,2009,2015,2012,6,2009,2015,"2010, 2012, 2014",4,18,4,
180.1,1,Grønlivatn,7.52,1990,2015,"1992, 1993, 1996, 1997",22,1990,2015,"1992, 1993, 1996, 1997",22,180,1,
185.1,1,Gåslandsvatn,7.7,1935,2015,2008,80,1978,2015,"1985, 1994, 2008, 2009",34,185,1,
189.1,1,Skodbergvatn,107.31,1929,1952,"",24,,,"",,189,1,
189.2,1,Øyvatn,47.42,1979,1989,"",11,,,"",,189,2,
189.3,1,Tennevikvatn,85.41,1979,2015,2014,36,1989,2015,"1994, 2011, 2014",24,189,3,
19.104,1,Songedalsåi,65.52,1981,2015,"",35,1981,2015,"",35,19,104,
19.107,1,Lilleelv,39.32,1986,2015,"1987:1997, 2002, 2007",17,1986,2015,"1987:1997, 2002, 2004, 2007",16,19,107,
19.57,1,Underberg Bru,253.67,1942,1950,"",9,,,"",,19,57,
19.63,1,Finndøla,387.87,1957,1962,"",6,,,"",,19,63,R
19.73,1,Kilåi Bru,64.37,1968,2015,2007,47,1968,2015,"1978, 1986, 1992, 1995, 2007",43,19,73,
19.76,1,Tovsliøytjønn,115,1970,2001,"",32,1985,2001,"",17,19,76,
19.78,1,Grytå,19.31,2000,2015,"",16,2000,2015,"",16,19,78,
19.79,1,Gravå,6.31,1971,2015,"",45,1971,2015,"1979, 1981:1984",40,19,79,
19.80,1,Stigvassåi,14.49,1973,2015,"",43,1973,2015,"1982:1984, 1990, 1994, 2000, 2009",36,19,80,
19.82,1,Rauåna,8.93,1973,2015,"",43,1973,2015,"1981:1984, 1987, 1991, 1994",36,19,82,
19.96,1,Storgama ovf.,0.52,1975,2015,"",41,1975,2015,"",41,19,96,
190.1,1,Tjuvskjer,8,1985,1993,"",9,,,"",,190,1,
190.2,1,Storfossen,52.69,1987,2001,1995:1996,13,1987,2001,1995:1996,13,190,2,
191.2,1,Øvrevatn,526.02,1988,2015,"",28,1989,2015,"",27,191,2,
193.2,1,Skøvatn ndf.,94.91,1962,1991,"",30,1984,1991,"",8,193,2,
194.1,1,Lysevatn,129.68,1935,1940,"",6,,,"",,194,1,R
196.11,1,Lille Rostavatn,638.38,1962,2015,"",54,1989,2015,"",27,196,11,
196.12,1,Lundberg,246.53,1962,2014,2000:2001,51,1978,2014,"1982, 1984, 2000, 2001",33,196,12,
196.13,1,Bardujord,68.5,1962,1990,"",29,1989,1990,"",2,196,13,
196.35,0,Malangsfoss,3110.65,1908,1959,"",52,,,"",,196,35,R
196.5,0,Insetvatn,1388.44,1911,1953,"",43,,,"",,196,5,
196.7,1,Fiskeløsvatn,54.42,1961,2014,"",54,1978,2014,"1981, 1986, 1992, 1998",33,196,7,
197.10,1,Ersfjordelva,18.63,2007,2011,"",5,2007,2011,"",5,197,10,
2.1,1,Hådammen,38.07,1990,2015,"",26,1998,2015,"",18,2,1,
2.102,2,Gjende,376,1967,1989,"",23,,1989,1987,3,2,102,
2.1036,1,Hæra v/Løkkeborg,132.84,2006,2015,2009,9,2006,2015,2009,9,2,1036,
2.11,1,Narsjø,119.13,1931,2015,1974,84,1987,2015,1993,28,2,11,
2.122,1,Skarnes,20300.47,1888,1895,"",8,,,"",,2,122,R
2.129,1,Dølplass,2014.27,1909,1954,1934:1936,43,,,"",,2,129,R
2.13,1,Sjodalsvatn,479.97,1982,2015,"",34,1986,2015,"",30,2,13,
2.132,1,Lomnessjø,1165.17,1929,1970,"1946:1948, 1969",38,,,"",,2,132,R
2.135,1,Tysla,231,1920,1996,1928:1961,43,,,"",,2,135,
2.142,1,Knappom,1646,1917,2015,2013,98,2000,2015,2013,15,2,142,
2.145,1,Losna,11212.84,1896,1916,"",21,,,"",,2,145,R
