"OBJECTID";"Shape";"vassdragNr";"navnNedbf";"arealEnh";"elvHierark";"vassOmr";"P1_Id";"klimaRegion";"region";"QNormal6190_mmAar";"QNormal6190_lskm2";"heightMin";"height10";"height20";"height30";"height40";"height50";"height60";"height70";"height80";"height90";"heightMax";"sjoPro";"brePro";"skoPro";"jbrukPro";"myrPro";"snaufjellPro";"urbanPro";"annetPro";"neddemtAreal_km2";"sumArealMagHRV";"sumArealMagNatVst";"antMag";"antMagIkkeDigNatVst";"tillopAktuelt";"effsjoPro";"effsjoTillop";"feltLeng_km";"elveLengde";"sumElvLengde";"feltLengdTillop";"gradElv";"grad1085";"drenTetthet";"tamSommer";"tamVinter";"rrSommer";"rrVinter";"tamJuli";"tamAugust";"tamAar";"rrAar";"rrJuni_mm";"rrJuli_mm";"qttMai_mm";"qttJuni_mm";"qttNovember_mm";"qttAarMax4dogn_mm";"tamFebruar";"tamMars";"elvenavn";"slopeMean";"leirProsent";"Shape_Length";"Shape_Area";"Ap (km)";"P_Sep (mm)";"qtt_Apr (mm)"
1309;"Polygon";"100.2B2Z";"Stavåna";22.83;"Stavåna/Stordalselva";100;37533;"Midt";"Midt";1912.342692;60.632298;112;538;614;667;721;785;856;935;1017;1110;1409;0.796649;0;15.968572;0;0.136881;65.306067;0;17.567346;0;0;0;0;0;0;0.070484;-999;9.05768;11.06053;32.273443;-999;72.618582;38.093413;1.48557;7.278359;0.273446;665.605301;1307.568711;8.709615;9.052278;3.192159;1973.174012;68.19875;97.824993;426.303984;330.976952;83.558125;95.007991;-5.947312;-4.142946;"Stavåna";24.425266;0;23473.09075;22833747.32;972.762707846954;181.488843101368;98.8388008569416
534;"Polygon";"240.AAZ";"Reinelva";32.69;"Reinelva/Flintelva/Vestre jakobselv";240;48525;"Finnmark";"Finnmark";599.206908;18.998317;182;226;245;276;304;324;341;365;386;406;459;0.766672;0;1.196849;0;1.969257;95.570128;0;0.514301;0;0;0;0;0;0;0.026402;-999;8.60669;11.57527;32.203634;-999;17.969343;18.199719;1.035712;5.774161;-5.824366;237.936661;365.806424;9.163709;8.285786;-0.991646;603.743085;41.484723;56.627675;194.074091;84.188243;5.885057;58.21163;-11.398204;-8.704475;"Reinelva";3.420225;0;26729.61136;32691808.12;1213.04992003686;50.9004990660114;18.5169648759159
455;"Polygon";"224.H4Z";"Lævsjåkka";21.79;"Lævsjåkka/Lakselvvassdraget";224;46233;"Finnmark";"Finnmark";572.230752;18.143017;300;320;341;353;374;394;409;429;462;528;747;4.646627;0;24.486576;0;9.479693;57.592359;0;3.82056;0;0;0;0;0;0;1.44177;-999;10.761115;12.44826;34.493589;-999;23.428174;13.924302;1.833919;6.268492;-8.988299;245.956438;267.770816;10.235424;8.961858;-2.631303;513.727255;42.191611;60.662969;170.197175;59.853299;4.54952;56.887793;-14.725794;-11.651662;"Lævsjåkka";4.570038;0;27959.99714;21786402.35;779.199019432287;43.4455852762158;22.9531558103268
476;"Polygon";"180.6Z";"Borgelva";12.34;"Borgelva";180;57461;"Nord";"Nord";1120.524133;35.527081;1;14;21;33;46;81;123;177;244;309;579;7.678282;0;39.14607;11.02107;8.716572;22.113047;0.906605;10.42342;0;0;0;0;0;0;6.649771;-999;4.511006;7.40309;15.792827;-999;51.019237;19.271232;1.592485;9.01763;1.260495;377.407575;1173.801205;11.099171;11.349297;4.492635;1551.208781;43.224288;62.963677;70.33396;45.727273;125.987167;72.303672;-1.095636;-0.63337;"Borgelv";10.687202;0;18486.8786;12343719.62;667.701664818916;109.688100740507;103.863393721642
203;"Polygon";"234.3Z";"Læibusjåkka";52.34;"Læibusjåkka";234;44813;"Finnmark";"Finnmark";601.608869;19.074473;1;147;177;191;201;211;219;226;237;254;323;5.773548;0;52.514807;0.180311;13.643963;19.530951;0;8.326567;0;0;0;0;0;0;0.220428;-999;13.63281;16.29881;57.125778;-999;12.042597;14.070557;1.446894;6.878824;-7.331087;207.194406;229.589629;10.573734;9.266914;-1.410291;436.784034;35.081386;55.203364;200.093663;65.77908;6.380536;56.014412;-12.407201;-9.518904;"Læibusjåkk";6.928067;0;37216.42851;52337961.76;1406.31339025472;47.4965522417732;22.8432938780182
815;"Polygon";"131.62Z";"Hovselva";6.36;"Hovselva";131;18765;"Midt";"Midt";1605.040303;50.889039;2;214;313;332;346;359;370;399;428;474;562;0.894261;0;47.749607;0.275157;27.545204;21.678459;0;1.82783;0;0;0;0;0;0;0.183201;-999;4.15001;4.48443;10.372266;-999;105.322193;113.578166;1.70334;9.932337;-0.001743;468.644168;867.775927;11.798868;11.667933;4.137457;1336.420094;69.983121;84.805507;188.837399;79.338461;100.835515;87.126118;-3.9497;-2.155778;"Hovselv";11.486626;2.545204;12005.24816;6355763.053;524.579453407467;154.199539516283;212.396687478012
368;"Polygon";"212.7AZ";"Saidejåkka";31.82;"Saidejåkka/Transfarelva";212;43139;"Finnmark";"Finnmark";588.136776;18.64733;105;385;409;426;438;449;461;474;488;514;591;3.447124;0;1.534019;0;9.644092;81.955138;0;3.268385;0;0;0;0;0;0;0.099752;-999;12.805402;15.97081;53.400981;-999;25.488375;13.441188;1.967454;6.557634;-6.731275;223.660131;244.737599;10.359228;9.112689;-1.19423;468.39773;37.69562;56.45855;195.744987;64.830952;5.591679;57.434832;-13.227429;-10.796423;"Saidejåkka";3.754541;0;35852.92357;31817902.33;887.456284051384;43.9971426171569;28.5443781604587
239;"Polygon";"136.AZ";"Grytelva";19.19;"Grytelva/Hofstadelva";136;12513;"Midt";"Midt";1459.074706;46.261088;60;264;293;315;336;354;369;386;402;424;507;5.88197;0;13.23606;0.592757;6.927436;57.810057;0;15.499609;0;0;0;0;0;0;0.459497;-999;35.667515;12.484;33.875587;-999;33.099968;24.351169;2.415059;9.108412;0.431532;530.249948;993.637497;10.886548;11.08752;4.046899;1523.887446;82.697707;106.137786;154.646818;91.818901;148.883775;104.06322;-3.409565;-1.901642;"Grytelva";12.126725;1.667535;35614.31011;19191724.45;519.641894363605;192.230637491385;226.187651131961
247;"Polygon";"241.4Z";"Nyborgelva";29.77;"Nyborgelva";241;48159;"Finnmark";"Finnmark";336.685819;10.674883;1;40;58;80;101;117;123;135;148;170;249;3.054669;0;70.14612;0.207843;20.77175;4.108582;0;1.683742;0;0;0;0;0;0;0.500722;-999;10.924905;13.64546;25.325481;-999;9.662554;9.478122;0.988314;7.421333;-6.908107;213.157366;208.599348;11.175097;9.792116;-0.937507;421.756715;36.750411;56.459205;164.087971;47.283755;8.415077;55.267401;-12.088042;-8.991049;"Nyborgelv";3.909413;0;34244.42531;29769260.32;852.148750350911;44.2108691329139;33.4111894833515
669;"Polygon";"118.14Z";"elv fra Skarpnesvatnet";2.3;"elv fra Skarpnesvatnet";118;60289;"Midt";"Midt";789.741375;25.039359;2;26;32;37;39;40;42;45;49;54;62;5.815217;0;0;1.222826;11.711957;0;0;81.277174;0;0;0;0;0;0;2.009603;-999;2.450336;2.70741;2.04448;-999;14.035554;12.804365;1.581667;10.720791;2.68093;408.668312;764.04589;12.272885;12.678846;6.030872;1172.714202;54.542353;72.253729;56.273813;70.033266;131.542783;72.841564;0.188088;1.204328;"elv fra Skarpnesvatne";5.007354;0;9364.058344;2300380.63;245.664131969052;111.96215557146;NA
