"ID" "yk" "grunn"
"1800004" 2014 "tabell A2"
"1800010" 1993 "tabell A2"
"1800010" 1994 "tabell A2"
"1800011" 1988 "tabell A2"
"18500001" 1985 "tabell A2"
"18500001" 1994 "tabell A2"
"18500001" 2008 "tabell A2"
"18500001" 2009 "tabell A2"
"18900003" 1994 "tabell A2"
"18900003" 2011 "tabell A2"
"18900003" 2014 "tabell A2"
"19000002" 1995 "tabell A2"
"19000002" 1996 "tabell A2"
"1900073" 1978 "tabell A2"
"1900073" 1986 "tabell A2"
"1900073" 1992 "tabell A2"
"1900073" 1995 "tabell A2"
"1900073" 2007 "tabell A2"
"1900079" 1979 "tabell A2"
"1900079" 1981 "tabell A2"
"1900079" 1982 "tabell A2"
"1900079" 1983 "tabell A2"
"1900079" 1984 "tabell A2"
"1900080" 1982 "tabell A2"
"1900080" 1983 "tabell A2"
"1900080" 1984 "tabell A2"
"1900080" 1990 "tabell A2"
"1900080" 1994 "tabell A2"
"1900080" 2000 "tabell A2"
"1900080" 2009 "tabell A2"
"1900082" 1981 "tabell A2"
"1900082" 1982 "tabell A2"
"1900082" 1983 "tabell A2"
"1900082" 1984 "tabell A2"
"1900082" 1987 "tabell A2"
"1900082" 1991 "tabell A2"
"1900082" 1994 "tabell A2"
"1900107" 1987 "tabell A2"
"1900107" 1988 "tabell A2"
"1900107" 1989 "tabell A2"
"1900107" 1990 "tabell A2"
"1900107" 1991 "tabell A2"
"1900107" 1992 "tabell A2"
"1900107" 1993 "tabell A2"
"1900107" 1994 "tabell A2"
"1900107" 1995 "tabell A2"
"1900107" 1996 "tabell A2"
"1900107" 1997 "tabell A2"
"1900107" 2002 "tabell A2"
"1900107" 2004 "tabell A2"
"1900107" 2007 "tabell A2"
"19600007" 1981 "tabell A2"
"19600007" 1986 "tabell A2"
"19600007" 1992 "tabell A2"
"19600007" 1998 "tabell A2"
"19600012" 1982 "tabell A2"
"19600012" 1984 "tabell A2"
"19600012" 2000 "tabell A2"
"19600012" 2001 "tabell A2"
"20000004" 1990 "tabell A2"
"20000004" 1992 "tabell A2"
"20000004" 1997 "tabell A2"
"20000004" 2001 "tabell A2"
"20000004" 2007 "tabell A2"
"20000004" 2012 "tabell A2"
"2000002" 1990 "tabell A2"
"2000002" 1992 "tabell A2"
"200011" 1993 "tabell A2"
"200032" 1995 "tabell A2"
"200032" 2003 "tabell A2"
"200036" 2002 "tabell A2"
"200036" 2003 "tabell A2"
"200036" 2005 "tabell A2"
"200061" 1999 "tabell A2"
"200061" 2001 "tabell A2"
"200061" 2002 "tabell A2"
"200061" 2006 "tabell A2"
"200063" 2005 "tabell A2"
"200102" 1987 "tabell A2"
"200142" 2013 "tabell A2"
"200235" 2008 "tabell A2"
"200265" 2002 "tabell A2"
"200265" 2011 "tabell A2"
"200268" 1992 "tabell A2"
"200268" 1994 "tabell A2"
