RN,HN,version,daily_data_start,daily_data_end,N_daily_data,fine_data_start,fine_data_end,N_fine_data,N,utelatt_yrs
48,1,1,1909,1997,89,1998,2023,25,114,2007
48,5,1,1918,1985,55,1979,2023,40,95,"1978, 1984"
50,1,1,1923,1961,39,1962,2023,59,98,1984
55,4,1,1934,1977,44,1978,2022,42,86,
55,5,1,,,0,1978,2022,38,38,
6,10,1,1991,1993,2,1968,2023,54,56,
61,8,1,,,0,1988,2023,30,30,2012
62,5,1,1892,1994,102,1995,2023,29,131,
62,14,1,1984,1985,2,1988,2023,32,34,
62,15,1,,,0,1984,2023,40,40,
62,18,1,,,0,1988,2023,26,26,"1989, 1990, 2004, 2009, 2011"
63,12,1,,,0,1995,2023,23,23,"1997, 1998, 2004, 2006, 2009"
68,1,1,1923,1997,3,1972,2005,32,35,
68,2,1,1965,1983,17,1998,2023,23,40,
71,1,1,1969,1986,18,1988,2023,34,52,2006
71,5,1,,,0,1973,2006,31,31,"1977, 2005"
72,5,1,1944,1997,52,1999,2014,15,67,"1998, 2009"
73,21,1,,,0,1968,2023,31,31,
73,27,1,1969,1969,1,1968,2023,34,35,1982
74,18,1,,,0,1983,2023,30,30,2006
75,22,1,,,0,1985,2016,28,28,"1994, 2005, 2013"
75,23,1,,,0,1966,2023,57,57,
75,28,1,,,0,1974,2022,47,47,2000
76,5,1,1963,1984,22,1985,2023,38,60,
76,10,1,1979,1984,6,1985,2023,37,43,
76,14,1,,,0,1987,2016,26,26,
77,3,1,1963,1996,29,1991,2023,32,61,
78,8,1,1966,1982,17,1983,2023,41,58,
79,3,1,,,0,1984,2023,39,39,
80,4,1,1928,1996,56,1983,2023,36,92,"1989, 2003"
8,2,1,1969,1985,17,1986,2023,35,52,"1987, 2007"
8,6,1,1993,1993,1,1972,2023,42,43,"1973, 1974, 1984, 2001"
8,8,1,1986,1986,1,1976,2001,21,22,"1988, 2000"
81,1,1,1934,1992,44,1977,2023,45,89,
82,4,1,1909,1984,76,1986,2023,38,114,
83,2,1,1903,1984,81,1985,2023,39,120,
83,6,1,1965,1984,13,1985,2023,39,52,
83,7,1,,,0,1966,2023,52,52,1976
83,12,1,,,0,1985,2023,38,38,
84,20,1,1964,1983,20,1984,2023,39,59,
85,4,1,1975,1981,6,1982,2023,39,45,
86,4,1,1965,1996,9,1970,2000,24,33,
86,10,1,1975,1983,6,1984,2023,31,37,"1985, 1998, 1999, 2008"
86,12,1,,,0,1983,2023,37,37,
88,4,1,1901,1987,81,1988,2023,36,117,
88,11,1,1982,1984,3,1985,2023,30,33,"1994, 1996"
88,15,1,1980,1984,5,1987,2023,27,32,2002
88,30,1,,,0,1988,2023,36,36,
89,1,1,1901,1989,89,1990,2023,33,122,
91,2,1,1935,1984,49,1985,2023,38,87,2009
96,3,1,,,0,1986,2023,30,30,"2002, 2009"
98,4,1,1917,1984,64,1985,2023,37,101,1999
99,17,1,1982,1998,14,1993,2023,24,38,"2007, 2013"
